fac1,fac2,c,dpt
http://vivo.brown.edu/individual/alourenc,http://vivo.brown.edu/individual/gbaird,1,http://vivo.brown.edu/individual/org-brown-univ-dept229
http://vivo.brown.edu/individual/ddupuymd,http://vivo.brown.edu/individual/mbelandm,1,http://vivo.brown.edu/individual/org-brown-univ-dept229
http://vivo.brown.edu/individual/gbaird,http://vivo.brown.edu/individual/alourenc,1,http://vivo.brown.edu/individual/org-brown-univ-dept229
http://vivo.brown.edu/individual/gbaird,http://vivo.brown.edu/individual/kjchang,1,http://vivo.brown.edu/individual/org-brown-univ-dept229
http://vivo.brown.edu/individual/gbaird,http://vivo.brown.edu/individual/mbelandm,1,http://vivo.brown.edu/individual/org-brown-univ-dept229
http://vivo.brown.edu/individual/gbaird,http://vivo.brown.edu/individual/wlafranc,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/gbaird,http://vivo.brown.edu/individual/cventetu,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/gbaird,http://vivo.brown.edu/individual/mlevymd,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/gbaird,http://vivo.brown.edu/individual/cmurator,2,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/gtungmd,http://vivo.brown.edu/individual/bfleming,1,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/jarrighi,http://vivo.brown.edu/individual/ckahlerm,1,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/jarrighi,http://vivo.brown.edu/individual/abusch,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/jarrighi,http://vivo.brown.edu/individual/bborrell,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/jboxerma,http://vivo.brown.edu/individual/mjayaram,2,http://vivo.brown.edu/individual/org-brown-univ-dept229
http://vivo.brown.edu/individual/jboxerma,http://vivo.brown.edu/individual/zz16,2,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/kjchang,http://vivo.brown.edu/individual/gbaird,2,http://vivo.brown.edu/individual/org-brown-univ-dept229
http://vivo.brown.edu/individual/kjchang,http://vivo.brown.edu/individual/mbelandm,2,http://vivo.brown.edu/individual/org-brown-univ-dept229
http://vivo.brown.edu/individual/mbelandm,http://vivo.brown.edu/individual/ddupuymd,1,http://vivo.brown.edu/individual/org-brown-univ-dept229
http://vivo.brown.edu/individual/mbelandm,http://vivo.brown.edu/individual/gbaird,1,http://vivo.brown.edu/individual/org-brown-univ-dept229
http://vivo.brown.edu/individual/mbelandm,http://vivo.brown.edu/individual/kjchang,1,http://vivo.brown.edu/individual/org-brown-univ-dept229
http://vivo.brown.edu/individual/mbelandm,http://vivo.brown.edu/individual/gpareek,1,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/mbelandm,http://vivo.brown.edu/individual/jmachan,1,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/mjayaram,http://vivo.brown.edu/individual/bs26,1,http://vivo.brown.edu/individual/org-brown-univ-dept235
http://vivo.brown.edu/individual/mjayaram,http://vivo.brown.edu/individual/lkobayas,1,http://vivo.brown.edu/individual/org-brown-univ-dept71
http://vivo.brown.edu/individual/mjayaram,http://vivo.brown.edu/individual/jboxerma,2,http://vivo.brown.edu/individual/org-brown-univ-dept229
http://vivo.brown.edu/individual/mjayaram,http://vivo.brown.edu/individual/gkarniad,2,http://vivo.brown.edu/individual/org-brown-univ-dept6
