fac1,fac2,c,dpt
http://vivo.brown.edu/individual/cd7,http://vivo.brown.edu/individual/xl6,1,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/cd7,http://vivo.brown.edu/individual/zjwu,1,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/cd7,http://vivo.brown.edu/individual/ejedward,1,http://vivo.brown.edu/individual/org-brown-univ-dept58
http://vivo.brown.edu/individual/cjanis,http://vivo.brown.edu/individual/ejedward,1,http://vivo.brown.edu/individual/org-brown-univ-dept58
http://vivo.brown.edu/individual/cjanis,http://vivo.brown.edu/individual/yohuang,1,http://vivo.brown.edu/individual/org-brown-univ-dept667
http://vivo.brown.edu/individual/drand,http://vivo.brown.edu/individual/dweinrei,12,http://vivo.brown.edu/individual/org-brown-univ-dept58
http://vivo.brown.edu/individual/drand,http://vivo.brown.edu/individual/rreenan,3,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/dweinrei,http://vivo.brown.edu/individual/drand,16,http://vivo.brown.edu/individual/org-brown-univ-dept58
http://vivo.brown.edu/individual/ebrainer,http://vivo.brown.edu/individual/bfleming,1,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/ebrainer,http://vivo.brown.edu/individual/sgatesy,2,http://vivo.brown.edu/individual/org-brown-univ-dept58
http://vivo.brown.edu/individual/ebrainer,http://vivo.brown.edu/individual/sswartz,2,http://vivo.brown.edu/individual/org-brown-univ-dept647
http://vivo.brown.edu/individual/ebrainer,http://vivo.brown.edu/individual/jcrisco,2,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/ejedward,http://vivo.brown.edu/individual/cd7,2,http://vivo.brown.edu/individual/org-brown-univ-dept58
http://vivo.brown.edu/individual/ejedward,http://vivo.brown.edu/individual/cjanis,2,http://vivo.brown.edu/individual/org-brown-univ-dept58
http://vivo.brown.edu/individual/ejedward,http://vivo.brown.edu/individual/yohuang,4,http://vivo.brown.edu/individual/org-brown-univ-dept667
http://vivo.brown.edu/individual/ks18,http://vivo.brown.edu/individual/smcgarve,4,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/ks18,http://vivo.brown.edu/individual/sr33,4,http://vivo.brown.edu/individual/org-brown-univ-dept58
http://vivo.brown.edu/individual/mtatarph,http://vivo.brown.edu/individual/nneretti,1,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/sgatesy,http://vivo.brown.edu/individual/jcrisco,1,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/sgatesy,http://vivo.brown.edu/individual/ebrainer,2,http://vivo.brown.edu/individual/org-brown-univ-dept58
http://vivo.brown.edu/individual/sr33,http://vivo.brown.edu/individual/rsoemedi,2,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/sr33,http://vivo.brown.edu/individual/wfairbro,2,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/sr33,http://vivo.brown.edu/individual/ks18,2,http://vivo.brown.edu/individual/org-brown-univ-dept58
http://vivo.brown.edu/individual/sswartz,http://vivo.brown.edu/individual/ebrainer,1,http://vivo.brown.edu/individual/org-brown-univ-dept58
http://vivo.brown.edu/individual/sswartz,http://vivo.brown.edu/individual/kbreuer,17,http://vivo.brown.edu/individual/org-brown-univ-dept75
http://vivo.brown.edu/individual/troberts,http://vivo.brown.edu/individual/chai,2,http://vivo.brown.edu/individual/org-brown-univ-dept55
