fac1,fac2,c,dpt
http://vivo.brown.edu/individual/blu,http://vivo.brown.edu/individual/jborkanm,2,http://vivo.brown.edu/individual/org-brown-univ-dept230
http://vivo.brown.edu/individual/blu,http://vivo.brown.edu/individual/mcarskad,4,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/blu,http://vivo.brown.edu/individual/kmsharke,4,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/blu,http://vivo.brown.edu/individual/eloucks,6,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/blu,http://vivo.brown.edu/individual/ceatonmd,72,http://vivo.brown.edu/individual/org-brown-univ-dept284
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/atrivedi,1,http://vivo.brown.edu/individual/org-brown-univ-dept263
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/wrakowsk,1,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/gwelleni,1,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/wbritton,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/blu,18,http://vivo.brown.edu/individual/org-brown-univ-dept230
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/smillerp,2,http://vivo.brown.edu/individual/org-brown-univ-dept263
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/vmor,2,http://vivo.brown.edu/individual/org-brown-univ-dept263
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/cdube,2,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/prisciad,2,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/mcarskad,2,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/gchoudha,2,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/kmsharke,2,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/wcwu,2,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/mvezerid,3,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/jhogansc,4,http://vivo.brown.edu/individual/org-brown-univ-dept250
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/eloucks,6,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/sl83,6,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/ceatonmd,http://vivo.brown.edu/individual/jborkanm,7,http://vivo.brown.edu/individual/org-brown-univ-dept230
http://vivo.brown.edu/individual/jborkanm,http://vivo.brown.edu/individual/blu,2,http://vivo.brown.edu/individual/org-brown-univ-dept230
http://vivo.brown.edu/individual/jborkanm,http://vivo.brown.edu/individual/mnothnag,2,http://vivo.brown.edu/individual/org-brown-univ-dept230
http://vivo.brown.edu/individual/jborkanm,http://vivo.brown.edu/individual/ceatonmd,28,http://vivo.brown.edu/individual/org-brown-univ-dept284
http://vivo.brown.edu/individual/jborkanm,http://vivo.brown.edu/individual/pgruppus,4,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/jtaylorm,http://vivo.brown.edu/individual/swarrier,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/mnothnag,http://vivo.brown.edu/individual/jborkanm,1,http://vivo.brown.edu/individual/org-brown-univ-dept230
http://vivo.brown.edu/individual/mnothnag,http://vivo.brown.edu/individual/rhallen,1,http://vivo.brown.edu/individual/org-brown-univ-dept232
http://vivo.brown.edu/individual/mnothnag,http://vivo.brown.edu/individual/pgruppus,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
