fac1,fac2,c,dpt
http://vivo.brown.edu/individual/anour,http://vivo.brown.edu/individual/clee12,1,http://vivo.brown.edu/individual/org-brown-univ-dept54
http://vivo.brown.edu/individual/cbiron,http://vivo.brown.edu/individual/sopalmd,3,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/cbiron,http://vivo.brown.edu/individual/lbrossay,4,http://vivo.brown.edu/individual/org-brown-univ-dept54
http://vivo.brown.edu/individual/clee12,http://vivo.brown.edu/individual/anour,1,http://vivo.brown.edu/individual/org-brown-univ-dept54
http://vivo.brown.edu/individual/clee12,http://vivo.brown.edu/individual/wcho,2,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/emylonak,http://vivo.brown.edu/individual/ccunha,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/emylonak,http://vivo.brown.edu/individual/lbrice,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/emylonak,http://vivo.brown.edu/individual/lmermeld,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/emylonak,http://vivo.brown.edu/individual/srounds,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/emylonak,http://vivo.brown.edu/individual/jrichmph,14,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/iene,http://vivo.brown.edu/individual/rbennett,1,http://vivo.brown.edu/individual/org-brown-univ-dept54
http://vivo.brown.edu/individual/jwandsmd,http://vivo.brown.edu/individual/hxu,1,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/jwandsmd,http://vivo.brown.edu/individual/jsedivy,1,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/jwandsmd,http://vivo.brown.edu/individual/ewalsh,1,http://vivo.brown.edu/individual/org-brown-univ-dept56
http://vivo.brown.edu/individual/jwandsmd,http://vivo.brown.edu/individual/amatoso,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/jwandsmd,http://vivo.brown.edu/individual/wcao,10,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/jwandsmd,http://vivo.brown.edu/individual/mkimmd,11,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/jwandsmd,http://vivo.brown.edu/individual/pgruppus,2,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/jwandsmd,http://vivo.brown.edu/individual/crosepet,2,http://vivo.brown.edu/individual/org-brown-univ-dept7
http://vivo.brown.edu/individual/jwandsmd,http://vivo.brown.edu/individual/ch273,2,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/jwandsmd,http://vivo.brown.edu/individual/lbrossay,4,http://vivo.brown.edu/individual/org-brown-univ-dept54
http://vivo.brown.edu/individual/lbrice,http://vivo.brown.edu/individual/emylonak,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/lbrossay,http://vivo.brown.edu/individual/aayalaph,3,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/lbrossay,http://vivo.brown.edu/individual/jlomas,3,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/lbrossay,http://vivo.brown.edu/individual/arsalomo,3,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/lbrossay,http://vivo.brown.edu/individual/estopamd,3,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/lbrossay,http://vivo.brown.edu/individual/watwoodp,6,http://vivo.brown.edu/individual/org-brown-univ-dept268
http://vivo.brown.edu/individual/lbrossay,http://vivo.brown.edu/individual/jwandsmd,6,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/rbennett,http://vivo.brown.edu/individual/jbliss,2,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/rbennett,http://vivo.brown.edu/individual/skshaw,2,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/rbennett,http://vivo.brown.edu/individual/iene,2,http://vivo.brown.edu/individual/org-brown-univ-dept54
