fac1,fac2,c,dpt
http://vivo.brown.edu/individual/adahlber,http://vivo.brown.edu/individual/gjogl,9,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/afaustos,http://vivo.brown.edu/individual/pgruppus,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/afaustos,http://vivo.brown.edu/individual/rseiferp,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/afaustos,http://vivo.brown.edu/individual/lbraun,2,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/arsalomo,http://vivo.brown.edu/individual/cgatsoni,2,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/arsalomo,http://vivo.brown.edu/individual/jreichne,2,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/arsalomo,http://vivo.brown.edu/individual/jsedivy,2,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/arsalomo,http://vivo.brown.edu/individual/nneretti,2,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/arsalomo,http://vivo.brown.edu/individual/hxu,4,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/arsalomo,http://vivo.brown.edu/individual/lbrossay,4,http://vivo.brown.edu/individual/org-brown-univ-dept54
http://vivo.brown.edu/individual/arsalomo,http://vivo.brown.edu/individual/pgruppus,8,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/cl153,http://vivo.brown.edu/individual/ktkelsey,1,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/cl153,http://vivo.brown.edu/individual/yh70,4,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/cschorlp,http://vivo.brown.edu/individual/jasander,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/cschorlp,http://vivo.brown.edu/individual/pgruppus,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/cschorlp,http://vivo.brown.edu/individual/rfreiman,1,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/cschorlp,http://vivo.brown.edu/individual/asbrodsk,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/cschorlp,http://vivo.brown.edu/individual/nneretti,2,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/cschorlp,http://vivo.brown.edu/individual/jsedivy,4,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/dcane,http://vivo.brown.edu/individual/gjogl,1,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/dcane,http://vivo.brown.edu/individual/pwilliar,2,http://vivo.brown.edu/individual/org-brown-univ-dept7
http://vivo.brown.edu/individual/emmorrow,http://vivo.brown.edu/individual/jquintos,2,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/emmorrow,http://vivo.brown.edu/individual/jkauer,2,http://vivo.brown.edu/individual/org-brown-univ-dept55
http://vivo.brown.edu/individual/emmorrow,http://vivo.brown.edu/individual/rnjones,2,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/emmorrow,http://vivo.brown.edu/individual/ssheinko,4,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/emmorrow,http://vivo.brown.edu/individual/rm4,6,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/gjogl,http://vivo.brown.edu/individual/dcane,2,http://vivo.brown.edu/individual/org-brown-univ-dept7
http://vivo.brown.edu/individual/gjogl,http://vivo.brown.edu/individual/adahlber,9,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/gwessel,http://vivo.brown.edu/individual/nneretti,1,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/gwessel,http://vivo.brown.edu/individual/rfreiman,1,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/gwessel,http://vivo.brown.edu/individual/rreenan,1,http://vivo.brown.edu/individual/org-brown-univ-dept53
