fac1,fac2,c,dpt
http://vivo.brown.edu/individual/cjohanso,http://vivo.brown.edu/individual/jmachan,1,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/estopamd,http://vivo.brown.edu/individual/gpapando,1,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/estopamd,http://vivo.brown.edu/individual/wlafranc,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/estopamd,http://vivo.brown.edu/individual/watwoodp,2,http://vivo.brown.edu/individual/org-brown-univ-dept268
http://vivo.brown.edu/individual/estopamd,http://vivo.brown.edu/individual/lbrossay,2,http://vivo.brown.edu/individual/org-brown-univ-dept54
http://vivo.brown.edu/individual/estopamd,http://vivo.brown.edu/individual/jfallonp,3,http://vivo.brown.edu/individual/org-brown-univ-dept56
http://vivo.brown.edu/individual/estopamd,http://vivo.brown.edu/individual/bstonest,5,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/mjayaram,http://vivo.brown.edu/individual/bs26,1,http://vivo.brown.edu/individual/org-brown-univ-dept235
http://vivo.brown.edu/individual/mjayaram,http://vivo.brown.edu/individual/lkobayas,1,http://vivo.brown.edu/individual/org-brown-univ-dept71
http://vivo.brown.edu/individual/mjayaram,http://vivo.brown.edu/individual/jboxerma,2,http://vivo.brown.edu/individual/org-brown-univ-dept229
http://vivo.brown.edu/individual/mjayaram,http://vivo.brown.edu/individual/gkarniad,2,http://vivo.brown.edu/individual/org-brown-univ-dept6
