fac1,fac2,c,dpt
http://vivo.brown.edu/individual/bla,http://vivo.brown.edu/individual/dcoustan,1,http://vivo.brown.edu/individual/org-brown-univ-dept232
http://vivo.brown.edu/individual/bla,http://vivo.brown.edu/individual/tl7,2,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/dcoustan,http://vivo.brown.edu/individual/bla,1,http://vivo.brown.edu/individual/org-brown-univ-dept232
http://vivo.brown.edu/individual/dcoustan,http://vivo.brown.edu/individual/aspirito,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/dcoustan,http://vivo.brown.edu/individual/smcgarve,6,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/dsavitz,http://vivo.brown.edu/individual/jb93,1,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/dsavitz,http://vivo.brown.edu/individual/gwelleni,3,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/dsavitz,http://vivo.brown.edu/individual/ew54,4,http://vivo.brown.edu/individual/org-brown-univ-dept232
http://vivo.brown.edu/individual/ew54,http://vivo.brown.edu/individual/dsavitz,4,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/fluksmd,http://vivo.brown.edu/individual/jpadbury,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/fluksmd,http://vivo.brown.edu/individual/bryder,1,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/fluksmd,http://vivo.brown.edu/individual/jreichne,1,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/fluksmd,http://vivo.brown.edu/individual/shaley,1,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/fluksmd,http://vivo.brown.edu/individual/smangray,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/fluksmd,http://vivo.brown.edu/individual/cmurator,2,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/jgclarke,http://vivo.brown.edu/individual/anunn,1,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/jgclarke,http://vivo.brown.edu/individual/bbockphd,4,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/jgclarke,http://vivo.brown.edu/individual/jrichmph,5,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/jgclarke,http://vivo.brown.edu/individual/jvandenb,5,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/mviglian,http://vivo.brown.edu/individual/sopalmd,2,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/rhallen,http://vivo.brown.edu/individual/mnothnag,1,http://vivo.brown.edu/individual/org-brown-univ-dept230
