fac1,fac2,c,dpt
http://vivo.brown.edu/individual/aamin,http://vivo.brown.edu/individual/dgolijan,1,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/aamin,http://vivo.brown.edu/individual/skostadi,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/aamin,http://vivo.brown.edu/individual/gpareek,2,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/aamin,http://vivo.brown.edu/individual/kboekelh,6,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/amatoso,http://vivo.brown.edu/individual/smangray,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/amatoso,http://vivo.brown.edu/individual/jwandsmd,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/amatoso,http://vivo.brown.edu/individual/mfabre,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/amatoso,http://vivo.brown.edu/individual/gpareek,2,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/asbrodsk,http://vivo.brown.edu/individual/auzun,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/asbrodsk,http://vivo.brown.edu/individual/jpadbury,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/asbrodsk,http://vivo.brown.edu/individual/cschorlp,1,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/asbrodsk,http://vivo.brown.edu/individual/nneretti,1,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/asbrodsk,http://vivo.brown.edu/individual/rfreiman,1,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/cnixon,http://vivo.brown.edu/individual/imichelo,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/cnixon,http://vivo.brown.edu/individual/draj1,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/cnixon,http://vivo.brown.edu/individual/jkurtis,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/cnixon,http://vivo.brown.edu/individual/jffriedm,2,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/dca,http://vivo.brown.edu/individual/kboekelh,12,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/draj1,http://vivo.brown.edu/individual/imichelo,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/draj1,http://vivo.brown.edu/individual/cnixon,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/draj1,http://vivo.brown.edu/individual/jkurtis,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/draj1,http://vivo.brown.edu/individual/jffriedm,2,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/edere,http://vivo.brown.edu/individual/kh9,2,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/edere,http://vivo.brown.edu/individual/kboekelh,8,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/estopamd,http://vivo.brown.edu/individual/gpapando,1,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/estopamd,http://vivo.brown.edu/individual/wlafranc,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/estopamd,http://vivo.brown.edu/individual/watwoodp,2,http://vivo.brown.edu/individual/org-brown-univ-dept268
http://vivo.brown.edu/individual/estopamd,http://vivo.brown.edu/individual/lbrossay,2,http://vivo.brown.edu/individual/org-brown-univ-dept54
http://vivo.brown.edu/individual/estopamd,http://vivo.brown.edu/individual/jfallonp,3,http://vivo.brown.edu/individual/org-brown-univ-dept56
http://vivo.brown.edu/individual/estopamd,http://vivo.brown.edu/individual/bstonest,5,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/jasander,http://vivo.brown.edu/individual/cschorlp,1,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/jasander,http://vivo.brown.edu/individual/skostadi,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/jasander,http://vivo.brown.edu/individual/pgruppus,14,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/jasander,http://vivo.brown.edu/individual/jsedivy,2,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/jasander,http://vivo.brown.edu/individual/nneretti,2,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/jasander,http://vivo.brown.edu/individual/kboekelh,2,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/jedonahu,http://vivo.brown.edu/individual/jmachan,1,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/jkurtis,http://vivo.brown.edu/individual/imichelo,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/jkurtis,http://vivo.brown.edu/individual/jpadbury,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/jkurtis,http://vivo.brown.edu/individual/cnixon,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/jkurtis,http://vivo.brown.edu/individual/draj1,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/jkurtis,http://vivo.brown.edu/individual/mfabre,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/jkurtis,http://vivo.brown.edu/individual/jhogansc,2,http://vivo.brown.edu/individual/org-brown-univ-dept250
http://vivo.brown.edu/individual/jkurtis,http://vivo.brown.edu/individual/vmor,2,http://vivo.brown.edu/individual/org-brown-univ-dept263
http://vivo.brown.edu/individual/jkurtis,http://vivo.brown.edu/individual/smcgarve,48,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/jkurtis,http://vivo.brown.edu/individual/jffriedm,66,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/jreichne,http://vivo.brown.edu/individual/cschung,1,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/jreichne,http://vivo.brown.edu/individual/fluksmd,1,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/jreichne,http://vivo.brown.edu/individual/arsalomo,1,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/jreichne,http://vivo.brown.edu/individual/eoharrin,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/jreichne,http://vivo.brown.edu/individual/yguan,1,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/jreichne,http://vivo.brown.edu/individual/jlomas,2,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/jreichne,http://vivo.brown.edu/individual/cf5,2,http://vivo.brown.edu/individual/org-brown-univ-dept75
http://vivo.brown.edu/individual/jreichne,http://vivo.brown.edu/individual/aayalaph,5,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/tl7,1,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/jasander,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/pgruppus,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/skostadi,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/zjwu,2,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/ktkelsey,2,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/kh9,2,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/jsedivy,3,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/aamin,3,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/edere,4,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/dca,6,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/kh9,http://vivo.brown.edu/individual/dgolijan,1,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/kh9,http://vivo.brown.edu/individual/gpareek,1,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/kh9,http://vivo.brown.edu/individual/edere,2,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/kh9,http://vivo.brown.edu/individual/kboekelh,4,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/ktkelsey,http://vivo.brown.edu/individual/gwelleni,1,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/ktkelsey,http://vivo.brown.edu/individual/jpadbury,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/ktkelsey,http://vivo.brown.edu/individual/cl153,1,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/ktkelsey,http://vivo.brown.edu/individual/smcgarve,2,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/ktkelsey,http://vivo.brown.edu/individual/watwoodp,2,http://vivo.brown.edu/individual/org-brown-univ-dept268
http://vivo.brown.edu/individual/ktkelsey,http://vivo.brown.edu/individual/yh70,4,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/ktkelsey,http://vivo.brown.edu/individual/kboekelh,4,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/lbraun,http://vivo.brown.edu/individual/pgruppus,2,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/lbraun,http://vivo.brown.edu/individual/afaustos,2,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/mhe,http://vivo.brown.edu/individual/skostadi,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/mhe,http://vivo.brown.edu/individual/gbourjei,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/skostadi,http://vivo.brown.edu/individual/jasander,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/skostadi,http://vivo.brown.edu/individual/jpadbury,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
