fac1,fac2,c,dpt
http://vivo.brown.edu/individual/asalisbu,http://vivo.brown.edu/individual/mbublitz,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/asalisbu,http://vivo.brown.edu/individual/gpapando,2,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/asalisbu,http://vivo.brown.edu/individual/llagasse,2,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/asalisbu,http://vivo.brown.edu/individual/tpearlst,3,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/asalisbu,http://vivo.brown.edu/individual/jpadbury,4,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/auzun,http://vivo.brown.edu/individual/skshaw,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/auzun,http://vivo.brown.edu/individual/asbrodsk,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/auzun,http://vivo.brown.edu/individual/jpadbury,7,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/blechner,http://vivo.brown.edu/individual/chai,1,http://vivo.brown.edu/individual/org-brown-univ-dept55
http://vivo.brown.edu/individual/blechner,http://vivo.brown.edu/individual/ltaylorm,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/blechner,http://vivo.brown.edu/individual/jfallonp,3,http://vivo.brown.edu/individual/org-brown-univ-dept56
http://vivo.brown.edu/individual/bstonest,http://vivo.brown.edu/individual/chai,1,http://vivo.brown.edu/individual/org-brown-univ-dept55
http://vivo.brown.edu/individual/bstonest,http://vivo.brown.edu/individual/jpadbury,5,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/bstonest,http://vivo.brown.edu/individual/estopamd,5,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/cloncarp,http://vivo.brown.edu/individual/llagasse,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/cmurator,http://vivo.brown.edu/individual/gbaird,1,http://vivo.brown.edu/individual/org-brown-univ-dept229
http://vivo.brown.edu/individual/cmurator,http://vivo.brown.edu/individual/fluksmd,1,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/cmurator,http://vivo.brown.edu/individual/cventetu,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/cmurator,http://vivo.brown.edu/individual/mlevymd,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/dsteelem,http://vivo.brown.edu/individual/idahabre,1,http://vivo.brown.edu/individual/org-brown-univ-dept263
