fac1,fac2,c,dpt
http://vivo.brown.edu/individual/chai,http://vivo.brown.edu/individual/blechner,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/chai,http://vivo.brown.edu/individual/bstonest,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/chai,http://vivo.brown.edu/individual/qilu,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/chai,http://vivo.brown.edu/individual/srounds,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/chai,http://vivo.brown.edu/individual/troberts,2,http://vivo.brown.edu/individual/org-brown-univ-dept58
http://vivo.brown.edu/individual/chai,http://vivo.brown.edu/individual/eoharrin,2,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/ed12,http://vivo.brown.edu/individual/gjaymdph,2,http://vivo.brown.edu/individual/org-brown-univ-dept71
http://vivo.brown.edu/individual/ed12,http://vivo.brown.edu/individual/cf5,2,http://vivo.brown.edu/individual/org-brown-univ-dept75
http://vivo.brown.edu/individual/jkauer,http://vivo.brown.edu/individual/emmorrow,1,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/jrmorgan,http://vivo.brown.edu/individual/ewalsh,1,http://vivo.brown.edu/individual/org-brown-univ-dept56
http://vivo.brown.edu/individual/jrmorgan,http://vivo.brown.edu/individual/jyschell,4,http://vivo.brown.edu/individual/org-brown-univ-dept55
http://vivo.brown.edu/individual/jyschell,http://vivo.brown.edu/individual/jrmorgan,8,http://vivo.brown.edu/individual/org-brown-univ-dept140
