fac1,fac2,c,dpt
http://vivo.brown.edu/individual/abusch,http://vivo.brown.edu/individual/bborrell,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/abusch,http://vivo.brown.edu/individual/bgaudian,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/abusch,http://vivo.brown.edu/individual/cconelea,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/abusch,http://vivo.brown.edu/individual/jarrighi,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/abusch,http://vivo.brown.edu/individual/ckahlerm,2,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/abusch,http://vivo.brown.edu/individual/mpcarey,2,http://vivo.brown.edu/individual/org-brown-univ-dept280
http://vivo.brown.edu/individual/ac67,http://vivo.brown.edu/individual/bdgreenb,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/ac67,http://vivo.brown.edu/individual/rbrownph,2,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/asalisbu,http://vivo.brown.edu/individual/mbublitz,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/asalisbu,http://vivo.brown.edu/individual/gpapando,2,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/asalisbu,http://vivo.brown.edu/individual/llagasse,2,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/asalisbu,http://vivo.brown.edu/individual/tpearlst,3,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/asalisbu,http://vivo.brown.edu/individual/jpadbury,4,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/dcoustan,1,http://vivo.brown.edu/individual/org-brown-univ-dept232
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/ckahlerm,1,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/wrakowsk,1,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/bgcase,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/dlichten,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/rnjones,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/tpearlst,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/vknopik,1,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/drohseno,14,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/nbarnett,17,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/smcgarve,2,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/jw33,2,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/mranney,2,http://vivo.brown.edu/individual/org-brown-univ-dept71
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/ejelalia,3,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/lweinsto,3,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/pmonti,34,http://vivo.brown.edu/individual/org-brown-univ-dept224
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/lh15,4,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/chart,4,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/syenphd,5,http://vivo.brown.edu/individual/org-brown-univ-dept69
http://vivo.brown.edu/individual/aspirito,http://vivo.brown.edu/individual/sb38,8,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/atuya,http://vivo.brown.edu/individual/vmor,2,http://vivo.brown.edu/individual/org-brown-univ-dept263
http://vivo.brown.edu/individual/atuya,http://vivo.brown.edu/individual/pgozalo,3,http://vivo.brown.edu/individual/org-brown-univ-dept263
http://vivo.brown.edu/individual/bbockphd,http://vivo.brown.edu/individual/nbarnett,1,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/bbockphd,http://vivo.brown.edu/individual/dmwillia,10,http://vivo.brown.edu/individual/org-brown-univ-dept264
http://vivo.brown.edu/individual/bbockphd,http://vivo.brown.edu/individual/gpapando,11,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/bbockphd,http://vivo.brown.edu/individual/jvandenb,2,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/bbockphd,http://vivo.brown.edu/individual/jhogansc,8,http://vivo.brown.edu/individual/org-brown-univ-dept250
