fac1,fac2,c,dpt
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/tl7,1,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/jasander,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/pgruppus,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/skostadi,1,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/zjwu,2,http://vivo.brown.edu/individual/org-brown-univ-dept262
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/ktkelsey,2,http://vivo.brown.edu/individual/org-brown-univ-dept265
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/kh9,2,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/jsedivy,3,http://vivo.brown.edu/individual/org-brown-univ-dept53
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/aamin,3,http://vivo.brown.edu/individual/org-brown-univ-dept57
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/edere,4,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/kboekelh,http://vivo.brown.edu/individual/dca,6,http://vivo.brown.edu/individual/org-brown-univ-dept57
