fac1,fac2,c,dpt
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/jpadbury,1,http://vivo.brown.edu/individual/org-brown-univ-dept34
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/eoharrin,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/jaliotta,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/jklinger,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/nwardmd,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/srounds,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/yguan,1,http://vivo.brown.edu/individual/org-brown-univ-dept85
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/smonagha,12,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/lbrossay,2,http://vivo.brown.edu/individual/org-brown-univ-dept54
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/cschung,20,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/jlomas,42,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/jreichne,5,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/aehsan,http://vivo.brown.edu/individual/jf32,2,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/aehsan,http://vivo.brown.edu/individual/gchoudha,2,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/atompkin,http://vivo.brown.edu/individual/agardner,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/bryder,http://vivo.brown.edu/individual/fluksmd,1,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/cmurator,http://vivo.brown.edu/individual/gbaird,1,http://vivo.brown.edu/individual/org-brown-univ-dept229
http://vivo.brown.edu/individual/cmurator,http://vivo.brown.edu/individual/fluksmd,1,http://vivo.brown.edu/individual/org-brown-univ-dept36
http://vivo.brown.edu/individual/cmurator,http://vivo.brown.edu/individual/cventetu,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
http://vivo.brown.edu/individual/cmurator,http://vivo.brown.edu/individual/mlevymd,1,http://vivo.brown.edu/individual/org-brown-univ-dept84
