fac1,fac2,cite
http://vivo.brown.edu/individual/twetle,http://vivo.brown.edu/individual/vmor,http://vivo.brown.edu/individual/n4683
http://vivo.brown.edu/individual/vmor,http://vivo.brown.edu/individual/twetle,http://vivo.brown.edu/individual/n4683
http://vivo.brown.edu/individual/ttrikali,http://vivo.brown.edu/individual/ebalk,http://vivo.brown.edu/individual/n51635
http://vivo.brown.edu/individual/ebalk,http://vivo.brown.edu/individual/ttrikali,http://vivo.brown.edu/individual/n51635
http://vivo.brown.edu/individual/nphilip,http://vivo.brown.edu/individual/lcarpent,http://vivo.brown.edu/individual/n69365
http://vivo.brown.edu/individual/nphilip,http://vivo.brown.edu/individual/lpricemd,http://vivo.brown.edu/individual/n69365
http://vivo.brown.edu/individual/lcarpent,http://vivo.brown.edu/individual/nphilip,http://vivo.brown.edu/individual/n69365
http://vivo.brown.edu/individual/lcarpent,http://vivo.brown.edu/individual/lpricemd,http://vivo.brown.edu/individual/n69365
http://vivo.brown.edu/individual/lpricemd,http://vivo.brown.edu/individual/nphilip,http://vivo.brown.edu/individual/n69365
http://vivo.brown.edu/individual/lpricemd,http://vivo.brown.edu/individual/lcarpent,http://vivo.brown.edu/individual/n69365
http://vivo.brown.edu/individual/sramsey,http://vivo.brown.edu/individual/twray,http://vivo.brown.edu/individual/n95364
http://vivo.brown.edu/individual/twray,http://vivo.brown.edu/individual/sramsey,http://vivo.brown.edu/individual/n95364
http://vivo.brown.edu/individual/dmwillia,http://vivo.brown.edu/individual/bbockphd,http://vivo.brown.edu/individual/n55411
http://vivo.brown.edu/individual/bbockphd,http://vivo.brown.edu/individual/dmwillia,http://vivo.brown.edu/individual/n55411
http://vivo.brown.edu/individual/jrichmph,http://vivo.brown.edu/individual/mlallymd,http://vivo.brown.edu/individual/n19411
http://vivo.brown.edu/individual/mlallymd,http://vivo.brown.edu/individual/jrichmph,http://vivo.brown.edu/individual/n19411
http://vivo.brown.edu/individual/pcioe,http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/n78843
http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/pcioe,http://vivo.brown.edu/individual/n78843
http://vivo.brown.edu/individual/srasmuss,http://vivo.brown.edu/individual/bdgreenb,http://vivo.brown.edu/individual/n84521
http://vivo.brown.edu/individual/bdgreenb,http://vivo.brown.edu/individual/srasmuss,http://vivo.brown.edu/individual/n84521
http://vivo.brown.edu/individual/arsalomo,http://vivo.brown.edu/individual/pgruppus,http://vivo.brown.edu/individual/n28482
http://vivo.brown.edu/individual/pgruppus,http://vivo.brown.edu/individual/arsalomo,http://vivo.brown.edu/individual/n28482
http://vivo.brown.edu/individual/sswartz,http://vivo.brown.edu/individual/kbreuer,http://vivo.brown.edu/individual/n72702
http://vivo.brown.edu/individual/kbreuer,http://vivo.brown.edu/individual/sswartz,http://vivo.brown.edu/individual/n72702
http://vivo.brown.edu/individual/jrichmph,http://vivo.brown.edu/individual/emylonak,http://vivo.brown.edu/individual/n89241
http://vivo.brown.edu/individual/emylonak,http://vivo.brown.edu/individual/jrichmph,http://vivo.brown.edu/individual/n89241
http://vivo.brown.edu/individual/wrakowsk,http://vivo.brown.edu/individual/igareen,http://vivo.brown.edu/individual/n69118
http://vivo.brown.edu/individual/igareen,http://vivo.brown.edu/individual/wrakowsk,http://vivo.brown.edu/individual/n69118
http://vivo.brown.edu/individual/sramsey,http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/n56872
http://vivo.brown.edu/individual/sramsey,http://vivo.brown.edu/individual/rbrownph,http://vivo.brown.edu/individual/n56872
http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/sramsey,http://vivo.brown.edu/individual/n56872
http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/rbrownph,http://vivo.brown.edu/individual/n56872
http://vivo.brown.edu/individual/rbrownph,http://vivo.brown.edu/individual/sramsey,http://vivo.brown.edu/individual/n56872
http://vivo.brown.edu/individual/rbrownph,http://vivo.brown.edu/individual/ckahlerm,http://vivo.brown.edu/individual/n56872
http://vivo.brown.edu/individual/kc11,http://vivo.brown.edu/individual/mpcarey,http://vivo.brown.edu/individual/n48930
http://vivo.brown.edu/individual/mpcarey,http://vivo.brown.edu/individual/kc11,http://vivo.brown.edu/individual/n48930
http://vivo.brown.edu/individual/jlomas,http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/n73065
http://vivo.brown.edu/individual/aayalaph,http://vivo.brown.edu/individual/jlomas,http://vivo.brown.edu/individual/n73065
http://vivo.brown.edu/individual/nphilip,http://vivo.brown.edu/individual/lcarpent,http://vivo.brown.edu/individual/n66371
http://vivo.brown.edu/individual/nphilip,http://vivo.brown.edu/individual/lpricemd,http://vivo.brown.edu/individual/n66371
http://vivo.brown.edu/individual/lcarpent,http://vivo.brown.edu/individual/nphilip,http://vivo.brown.edu/individual/n66371
http://vivo.brown.edu/individual/lcarpent,http://vivo.brown.edu/individual/lpricemd,http://vivo.brown.edu/individual/n66371
http://vivo.brown.edu/individual/lpricemd,http://vivo.brown.edu/individual/nphilip,http://vivo.brown.edu/individual/n66371
http://vivo.brown.edu/individual/lpricemd,http://vivo.brown.edu/individual/lcarpent,http://vivo.brown.edu/individual/n66371
http://vivo.brown.edu/individual/lcarpent,http://vivo.brown.edu/individual/lpricemd,http://vivo.brown.edu/individual/n70430
http://vivo.brown.edu/individual/lpricemd,http://vivo.brown.edu/individual/lcarpent,http://vivo.brown.edu/individual/n70430
http://vivo.brown.edu/individual/jlomas,http://vivo.brown.edu/individual/jklinger,http://vivo.brown.edu/individual/n33783
http://vivo.brown.edu/individual/jlomas,http://vivo.brown.edu/individual/srounds,http://vivo.brown.edu/individual/n33783
